symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type,entry_date,entry_time,exit_date,exit_time,breakeven_point,avg_buy_price,avg_sell_price,net_pnl,status,roi
INTELLECT,2022-05-31,NSE,EQ,sell,1300.0,676.6,1100000001332531,09:45:33,,,,cash,2022-05-31,09:22:44,2022-05-31,09:45:33,4,676.6,669.9846153846154,8600.0,0,0.0099
NTPC,2022-03-09,NSE,EQ,sell,2200.0,132.7,1200000005184975,10:18:23,,,,cash,2022-03-09,09:17:23,2022-03-09,10:18:23,3,132.7,133.67727272727274,-2150.0,1,-0.0073
NTPC,2022-04-29,NSE,EQ,sell,2600.0,155.95,1200000019823548,15:20:52,,,,cash,2022-04-29,09:07:14,2022-04-29,15:20:52,2,155.95,160.4,-11570.0,1,-0.0277
NTPC,2022-08-17,NSE,EQ,buy,1052.0,162.1,1200000004251876,12:03:50,,,,cash,2022-08-17,09:58:40,2022-08-17,12:03:50,2,163.0,162.1,946.8,0,-0.0055
NTPC,2022-09-07,NSE,EQ,sell,6666.0,169.2,1200000001084432,09:23:34,,,,cash,2022-09-07,09:07:57,2022-09-07,09:23:34,2,169.2,168.5,4666.2,0,0.0042
BALRAMCHIN,2022-03-10,NSE,EQ,sell,566.0,444.8,1000000001733171,09:24:36,,,,cash,2022-03-10,09:07:43,2022-03-10,09:24:36,2,444.8,451.0,-3509.2,1,-0.0137
JKCEMENT,2022-03-10,NSE,EQ,sell,132.0,2400.0,1200000002534349,09:36:16,,,,cash,2022-03-10,09:07:43,2022-03-10,09:36:16,2,2400.0,2345.0,7260.0,0,0.0235
JKCEMENT,2022-03-10,NSE,EQ,buy,2.0,2325.85,1200000019600372,14:17:03,,,,cash,2022-03-10,14:16:17,2022-03-10,14:17:03,2,2322.0,2325.85,-7.7,1,0.0017
JKCEMENT,2022-09-09,NSE,EQ,sell,340.0,2974.5,1200000001221718,10:29:18,,,,cash,2022-09-09,09:07:03,2022-09-09,10:29:18,2,2974.5,2960.6,4726.0,0,0.0047
JKCEMENT,2022-09-12,NSE,EQ,sell,146.0,2818.6,1200000000847951,09:22:06,,,,cash,2022-09-12,09:07:30,2022-09-12,09:22:06,2,2818.6,2844.95,-3847.1,1,-0.0093
JKCEMENT,2022-09-21,NSE,EQ,sell,350.0,2918.0,1200000001345349,09:23:38,,,,cash,2022-09-21,09:15:19,2022-09-21,09:23:38,2,2918.0,2909.5,2975.0,0,0.0029
IOC,2022-03-11,NSE,EQ,sell,4296.0,123.15,1100000019362205,14:42:37,,,,cash,2022-03-11,09:15:00,2022-03-11,14:42:37,10,123.10747206703913,121.10065176908753,8621.3,0,0.0166
IOC,2022-03-23,NSE,EQ,sell,3200.0,121.25,1100000001224465,09:22:03,,,,cash,2022-03-23,09:07:43,2022-03-23,09:22:03,3,121.25,122.146875,-2870.0,1,-0.0073
