symbol,tradeDate,exchange,quantity,price,executionTime,strikePrice,expiryDate,optionsType,tradeType,assetType,id,tradeId
NIFTY22OCT17000CE,2022-09-30,NSE,50,432.0,14:51:01,,,1,0,1,7ec09dba48a535194afac12b363b97b7,883397d8a278d2fa9cec71c2cbd48c17
NIFTY22OCT17000CE,2022-09-30,NSE,50,429.35,14:51:25,,,1,1,1,5b1398cf53343e6498a869a17bb0970f,883397d8a278d2fa9cec71c2cbd48c17
NIFTY22OCTFUT,2022-09-30,NSE,50,17143.65,14:52:07,,,,0,2,959e2e2c97d5fb125246ba31004e3c43,d634c8c06efcd9c69348269cdf3f05a1
NIFTY22OCTFUT,2022-09-30,NSE,50,17140.0,14:52:47,,,,1,2,bf5e679d674ece267d0013696b32714f,d634c8c06efcd9c69348269cdf3f05a1
