symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type
SRF,2022-03-16,NSE,EQ,sell,70.0,2477.3,1300000000024564,09:07:53,,,,cash
SRF,2022-03-16,NSE,EQ,sell,20.0,2477.3,1300000000024878,09:07:53,,,,cash
SRF,2022-03-16,NSE,EQ,buy,90.0,2442.0,1300000000945163,09:19:46,,,,cash
VOLTAS,2022-03-16,NSE,EQ,sell,100.0,1282.05,1300000009444293,11:33:11,,,,cash
VOLTAS,2022-03-16,NSE,EQ,buy,100.0,1288.1,1300000009470576,11:56:45,,,,cash
HAL,2022-03-17,NSE,EQ,sell,80.0,1486.0,1100000000051688,09:07:59,,,,cash
VOLTAS,2022-03-17,NSE,EQ,sell,80.0,1303.0,1300000000096452,09:07:59,,,,cash
VOLTAS,2022-03-17,NSE,EQ,buy,80.0,1315.0,1300000002375060,09:31:46,,,,cash
HAL,2022-03-17,NSE,EQ,buy,80.0,1464.0,1100000001699868,11:19:53,,,,cash
RPOWER,2022-03-17,NSE,EQ,sell,931.0,14.2,1300000011310181,14:05:46,,,,cash
COROMANDEL,2022-03-21,NSE,EQ,sell,200.0,853.0,1000000000040084,09:07:30,,,,cash
TRENT,2022-03-21,NSE,EQ,sell,50.0,1282.0,1300000000053894,09:07:30,,,,cash
TRENT,2022-03-21,NSE,EQ,sell,50.0,1282.0,1300000000054400,09:07:30,,,,cash
TRENT,2022-03-21,NSE,EQ,buy,100.0,1262.5,1300000000924865,09:18:41,,,,cash
COROMANDEL,2022-03-21,NSE,EQ,sell,50.0,857.0,1000000001908685,09:28:25,,,,cash
COROMANDEL,2022-03-21,NSE,EQ,buy,250.0,850.6,1000000002234333,09:33:10,,,,cash
CUMMINSIND,2022-03-22,NSE,EQ,sell,110.0,1059.3,1000000000025668,09:07:12,,,,cash
INTELLECT,2022-03-22,NSE,EQ,sell,160.0,808.1,1100000000025306,09:15:00,,,,cash
CHAMBLFERT,2022-03-22,NSE,EQ,sell,270.0,434.0,1000000000025662,09:15:36,,,,cash
CUMMINSIND,2022-03-22,NSE,EQ,buy,110.0,1045.5,1000000000545653,09:18:16,,,,cash
CHAMBLFERT,2022-03-22,NSE,EQ,sell,100.0,439.35,1000000000881177,09:20:51,,,,cash
INTELLECT,2022-03-22,NSE,EQ,buy,160.0,800.6,1100000002175804,09:30:15,,,,cash
CHAMBLFERT,2022-03-22,NSE,EQ,buy,50.0,431.4,1000000002769550,10:17:27,,,,cash
CHAMBLFERT,2022-03-22,NSE,EQ,buy,320.0,428.8,1000000010636863,12:21:47,,,,cash
IOC,2022-03-23,NSE,EQ,sell,1100.0,121.85,1100000000051365,09:07:43,,,,cash
RAIN,2022-03-23,NSE,EQ,sell,416.0,195.0,1300000000059907,09:07:43,,,,cash
IOC,2022-03-23,NSE,EQ,sell,500.0,122.8,1100000000663628,09:17:47,,,,cash
RAIN,2022-03-23,NSE,EQ,sell,200.0,196.2,1300000001066342,09:20:29,,,,cash
IOC,2022-03-23,NSE,EQ,buy,1600.0,121.25,1100000001224465,09:22:03,,,,cash
RAIN,2022-03-23,NSE,EQ,buy,616.0,193.65,1300000001611389,09:25:11,,,,cash
ALKEM,2022-03-24,NSE,EQ,sell,35.0,3665.0,1000000000027667,09:15:55,,,,cash
WHIRLPOOL,2022-03-24,NSE,EQ,sell,70.0,1647.0,1300000000055132,09:16:53,,,,cash
ALKEM,2022-03-24,NSE,EQ,buy,35.0,3606.0,1000000000590853,09:18:28,,,,cash
WHIRLPOOL,2022-03-24,NSE,EQ,buy,70.0,1638.8,1300000002372557,09:34:36,,,,cash
FSL,2022-03-25,NSE,EQ,sell,600.0,135.5,1100000000030556,09:07:06,,,,cash
FSL,2022-03-25,NSE,EQ,buy,600.0,133.8,1100000001303282,09:22:42,,,,cash
RAIN,2022-03-28,NSE,EQ,sell,600.0,204.65,1300000000052229,09:07:04,,,,cash
ATUL,2022-03-28,NSE,EQ,sell,3.0,10130.0,1000000000033506,09:15:06,,,,cash
