symbol,tradeDate,exchange,quantity,price,executionTime,strikePrice,expiryDate,optionsType,tradeType,assetType,id,tradeId
TORNTPHARM,2022-05-27,NSE,80,2915.0,09:07:52,,,,sell,cash,b68e866c2d35985a92bdeaf0dcda325f,3ae625be7da422ef799fab41029961ba
SHREECEM,2022-05-27,NSE,20,21944.357499999995,15:20:51,,,,buy,cash,c44e5ec5e4ce7b9b921fad0d6ec0a061,2dfda86a3ee8ee5198043a2c033a158d
TORNTPHARM,2022-05-27,NSE,80,2947.25,15:20:52,,,,buy,cash,0da778a8a09239c083e9a794fb190fc3,3ae625be7da422ef799fab41029961ba
INDIAMART,2022-05-30,NSE,40,4568.4,09:07:29,,,,sell,cash,65d8192a3c5bd43a2972f8218dcd9cdd,4d1744be44eb7a26d21ff13b6be2394e
PAGEIND,2022-05-30,NSE,4,44636.05,09:07:29,,,,sell,cash,4ac995ce160c4a0fb5b3ac69dfa60169,5447965091b46a11f991cc05c699adff
GRANULES,2022-05-30,NSE,1180,267.3,09:15:00,,,,sell,cash,12b62ec2239f1d490ec5a719b4ecbc76,f0e513c64f9de3f917843cf3e94e828f
GRANULES,2022-05-30,NSE,1180,271.1405932203389,09:21:08,,,,buy,cash,c9ea9e7ad7788f8b9c49fe582968cc7d,f0e513c64f9de3f917843cf3e94e828f
INDIAMART,2022-05-30,NSE,40,4624.45,09:30:53,,,,buy,cash,265fa5d2704c07c994bba82b7f63f7d0,4d1744be44eb7a26d21ff13b6be2394e
PAGEIND,2022-05-30,NSE,4,45169.9875,15:20:54,,,,buy,cash,f92953a03e9eae0e6be6ed66ef37264c,5447965091b46a11f991cc05c699adff
CROMPTON,2022-05-31,NSE,454,353.3999999999999,09:07:05,,,,sell,cash,7fe6a43602faefbc948dc2fe719424f0,5be8e443ffff84cf1556826ffa00bebc
INTELLECT,2022-05-31,NSE,550,676.0,09:07:05,,,,sell,cash,87c0057ac13e6790181443e79df41476,ae0936194b747a695dcd322af216bcdf
INTELLECT,2022-05-31,NSE,550,672.8330000000001,09:21:07,,,,buy,cash,8165b251bd172bf5ae0bded3cd6319ad,ae0936194b747a695dcd322af216bcdf
INTELLECT,2022-05-31,NSE,500,669.0,09:22:44,,,,sell,cash,45537453f5a60465a98e8090e596cab9,af4ba0faff94701d22052a1e599212e6
INTELLECT,2022-05-31,NSE,100,673.9,09:29:53,,,,sell,cash,d2d9cea6947a8c384a5c584220834c23,af4ba0faff94701d22052a1e599212e6
INTELLECT,2022-05-31,NSE,50,672.0,09:30:46,,,,sell,cash,c6480bbaa3026e0ba2673e6df11ea169,af4ba0faff94701d22052a1e599212e6
CROMPTON,2022-05-31,NSE,454,355.25,09:32:42,,,,buy,cash,bc785c94fce32c4da1a579505ed4e747,5be8e443ffff84cf1556826ffa00bebc
INTELLECT,2022-05-31,NSE,650,676.6,09:45:33,,,,buy,cash,4a716e7a6338b2470d4fd6cedfe5c2c7,af4ba0faff94701d22052a1e599212e6
BALKRISIND,2022-06-01,NSE,140,2340.0,09:07:15,,,,sell,cash,ee11c58f0d5360b6bea65d3b3ea16875,2443428d7312829bd7d0485181d1d5e0
BALKRISIND,2022-06-01,NSE,100,2338.0,09:18:27,,,,sell,cash,f3322c6b3153125542ffd8fff91d7991,2443428d7312829bd7d0485181d1d5e0
MRF,2022-06-01,NSE,1,77050.0,09:51:10,,,,buy,cash,aa39ad14e4bfb032f567cef01ac25ddb,e0df97d0668fb29d7c93ddff8618a1b5
MRF,2022-06-01,NSE,1,76800.0,09:57:34,,,,sell,cash,741eb247a11e8435cf88821b307325a3,e0df97d0668fb29d7c93ddff8618a1b5
BALKRISIND,2022-06-01,NSE,240,2353.6,12:17:19,,,,buy,cash,d293b87fca45759d5d81ae1e86fe22aa,2443428d7312829bd7d0485181d1d5e0
ASTRAL,2022-06-01,NSE,100,1814.1,13:10:43,,,,sell,cash,9d9891dbcbd7a4d14b53b785c524155e,479b0c879832a744a39e9734cb21ecfb
ASTRAL,2022-06-01,NSE,25,1813.9,13:11:28,,,,sell,cash,e8c4d4a7d71156987ba2cc2d0518f485,479b0c879832a744a39e9734cb21ecfb
MFSL,2022-06-01,NSE,250,820.0,13:13:19,,,,sell,cash,942a103946b7b5b189cbf5951509adab,61075aec1b0a75368b9bfa61afc19d32
MFSL,2022-06-01,NSE,250,811.45,13:33:41,,,,buy,cash,b11f5bf2cd168fae7dacfb62a7cd2fc7,61075aec1b0a75368b9bfa61afc19d32
ASTRAL,2022-06-01,NSE,125,1799.8288,13:59:10,,,,buy,cash,e83cbf87249c2860f028687a595d0671,479b0c879832a744a39e9734cb21ecfb
ABBOTINDIA,2022-06-03,NSE,10,18450.0,09:07:34,,,,sell,cash,3b0bf66f7cc0a653851e73ff72e1f5c8,802715f4ee7e745056f14d01123c4ff4
ABBOTINDIA,2022-06-03,NSE,10,18548.0,09:16:26,,,,sell,cash,17a4bfb594b5929421ffddd5e90a1f13,802715f4ee7e745056f14d01123c4ff4
ABBOTINDIA,2022-06-03,NSE,20,18400.0,09:35:50,,,,buy,cash,ac22810b90416c7dc136b0101c1bffcb,802715f4ee7e745056f14d01123c4ff4
METROPOLIS,2022-06-06,NSE,85,1654.45,09:07:30,,,,sell,cash,c7c0e8792a5fb964732cde39e126cc48,ff4630f4088b287043cbe9a57d9649d1
METROPOLIS,2022-06-06,NSE,85,1686.0,09:18:52,,,,buy,cash,fd2d94f9a9dba8367441e6bba6b526e6,ff4630f4088b287043cbe9a57d9649d1
ONGC,2022-06-08,NSE,1000,163.5,09:07:19,,,,sell,cash,00dc8d3cd430a30d2b3b4b7b85689884,7efbb9cdcaa6c9aaab9ed4da6989ab9d
ONGC,2022-06-08,NSE,1000,164.7,13:29:14,,,,buy,cash,6258955022041ebb573765dd56e95259,7efbb9cdcaa6c9aaab9ed4da6989ab9d
DALBHARAT,2022-06-09,NSE,333,1272.0,09:29:59,,,,sell,cash,bbdce1189f7dc7ff20a3c3a0ad396796,08c44aeb4bd54a118b104b8282f9a39d
DALBHARAT,2022-06-09,NSE,333,1278.9975975975976,09:43:22,,,,buy,cash,150b2272c854f17cc7d0b4a5f346be74,08c44aeb4bd54a118b104b8282f9a39d
BAJAJ-AUTO,2022-06-24,NSE,125,3800.8,09:07:05,,,,sell,cash,4f670f0b935c4d7bfe37560a0d3920b3,2170b7aa09d96da9807f8c40c988f637
BAJAJ-AUTO,2022-06-24,NSE,125,3830.0,09:35:14,,,,buy,cash,85a61fe45a2446199c61da9fd5a67ec8,2170b7aa09d96da9807f8c40c988f637
ABBOTINDIA,2022-06-30,NSE,23,18923.91304347826,09:22:01,,,,sell,cash,94975dbb15a63db2847b52b6c41460ed,ab04cd62c185d2966272894db1be5f17
ABBOTINDIA,2022-06-30,NSE,23,18802.391304347828,10:43:50,,,,buy,cash,a9058fab52e58fa0b866c53cd1586d26,ab04cd62c185d2966272894db1be5f17
MCX,2022-07-01,NSE,100,1314.015,09:29:14,,,,sell,cash,6e445502ba14e39e37b753f7ccede86e,9c0cbce6931e4d61f4305dd5d488fd5e
